,Height,Weight,Gender_,ne_sco_train,ne_sco_test,squr_error_reg,ne_sco_tr,ne_sco_te,reg_sco_te,reg_sco_tr,abs_error_reg,sqrt_error_knn,abs_error_knn
0,73.84701702,241.8935632,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
1,68.78190405,162.3104725,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
2,74.11010539,212.7408556,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
3,71.7309784,220.0424703,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
4,69.88179586,206.3498006,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
5,67.25301569,152.2121558,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
6,68.78508125,183.9278886,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
7,68.34851551,167.9711105,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
8,67.01894966,175.9294404,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
9,63.45649398,156.3996764,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
10,71.19538228,186.6049256,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
11,71.64080512,213.7411695,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
12,64.76632913,167.1274611,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
13,69.2830701,189.4461814,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
14,69.24373223,186.434168,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
15,67.6456197,172.1869301,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
16,72.41831663,196.0285063,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
17,63.97432572,172.8834702,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
18,69.6400599,185.9839576,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
19,67.93600485,182.426648,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
20,67.91505019,174.1159291,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
21,69.43943987,197.7314216,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
22,66.14913196,149.173566,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
23,75.20597361,228.7617806,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
24,67.89319634,162.0066518,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
25,68.1440328,192.3439766,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
26,69.08963143,184.4351744,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
27,72.80084352,206.8281894,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
28,67.42124228,175.2139224,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
29,68.49641536,154.3426389,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
30,68.61811055,187.5068432,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
31,74.03380762,212.9102253,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
32,71.52821604,195.0322432,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
33,69.1801611,205.1836213,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
34,69.57720237,204.1641255,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
35,70.40092889,192.9035151,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
36,69.07617117,197.4882426,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
37,67.19352328,183.8109732,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
38,65.80731565,163.8518249,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
39,64.30418789,163.1080171,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
40,67.97433623,172.1355974,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
41,72.18942596,194.0454049,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
42,65.27034552,168.6177462,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
43,66.09017738,161.1934326,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
44,67.51032152,164.6602773,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
45,70.10478626,188.9223032,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
46,68.25183644,187.0605522,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
47,72.17270912,209.0708634,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
48,69.17985762,192.0143354,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
49,72.87036015,211.3424968,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
50,64.78258298,165.6116262,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
51,70.18354989,201.0719181,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
52,68.49145025,173.4239603,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
53,67.33083088,181.4076793,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
54,66.99094408,169.7377074,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
55,66.4995499,163.3095283,1,0.93,0.86,99.43,0.93,0.86,0.9,0.89,7.91,132.56,9.12
